"id_bradesco","unit_name","data_inicio_automacao","dias_antes_automacao"
1186,"1186 AV CENTRAL URB NITEROI RJ","07/31/25",40
2165,"2165 PRAIA ENS.U-GUARUJA","07/31/25",40
548,"548 V.CLEMENTINO-USP","07/31/25",40
518,"518 PONTA PRAIA U.SANTOS","07/31/25",40
3037,"3037 ITABERABA","07/31/25",40
235,"235 PC.MUNICIPAL-USA","07/31/25",40
3707,"3707 MANACAPURU","07/31/25",40
2807,"2807 B.SANTA ROSA-U.NIT.","07/31/25",37
1804,"1804 FREGUESIA-URJ","07/31/25",37
2371,"2371 AV.JUL.CASTILHOS-UCG","07/31/25",37
1629,"1629 PRAIA BOTAFOGO-URJ","07/31/25",37
1800,"1800 GOIANA","07/31/25",36
6536,"6536 RUA CEL.ALFREDO SOARES,RJ","07/31/25",36
3266,"3266 CAMPO POLVORA-USA","07/31/25",36
320,"320 MANAUS-CENTRO","07/31/25",35
3291,"3291 ARAGUAINA","07/31/25",35
525,"525 GUARUJA-CENTRO","07/31/25",35
158,"158 CABREUVA","07/31/25",35
3300,"3300 GUARAI","07/31/25",35
48,"48 PARANAGUA","07/31/25",35
2474,"2474 PRES.ALTINO-URB.OSAS","07/31/25",35
543,"543 S.GONCALO-CENTRO","07/31/25",34
659,"659 SIRINHAEM","07/31/25",34
2350,"2350 JD.LONDRES U.CAMPIN.","07/31/25",34
295,"295 CAUCAIA","07/31/25",34
3237,"3237 LGO.DO TANQUE-USA","07/31/25",34
2100,"2100 CEL.ANTONINO-UCG","07/31/25",34
1940,"1940 UBA","07/31/25",34
2157,"2157 MATINHOS","07/31/25",34
133,"133 ITAIM-USP","07/31/25",33
3732,"3732 PRES FIGUEIREDO","07/31/25",33
1230,"1230 CAXANGA-URE","07/31/25",33
114,"114 BOM RETIRO-USP","07/31/25",33
2089,"2089 QUEIMADOS","07/31/25",30
3613,"3613 IPIRA","07/31/25",30
99,"99 CENTRAL","07/31/25",30
2405,"2405 PIRAJUCARA-U.T.SERRA","07/31/25",30
323,"323 VINHEDO - VINHEDO","07/31/25",30
2378,"2378 LGO.DO BICAO URB.RJ.","07/31/25",30
2105,"2105 BAYEUX","07/31/25",29
2187,"2187 ITAIPU-UNITEROI","07/31/25",29
3189,"3189 CENTER LAPA-USA","07/31/25",29
493,"493 CAMPINA GRANDE -CENTRO","07/31/25",29
1695,"1695 SALGUEIRO","07/31/25",28
1443,"1443 JD.BONFIGLIOLI-USP","07/31/25",28
98,"98 RANGEL PESTANA-USP","07/31/25",28
1972,"1972 GUAIBA","07/31/25",26
1790,"1790 GRAJAU-URJ","07/31/25",26
262,"262 MIRACEMA DO TOCANTIN","07/31/25",26
1253,"1253 ITAPEVI-CTO","07/31/25",26
56,"56 ADAMANTINA","08/15/25",41
592,"592 GRACA-USA","08/15/25",35
860,"860 CAPELINHA","08/15/25",35
21,"21 OSVALDO CRUZ-SP","08/15/25",35
1522,"1522 PARNAIBA","08/15/25",34
2108,"2108 CRUZ DAS ARMAS-UJP","08/15/25",34
2340,"2340 BAIRRO MANGABEIRA-URB.JOÃO PESSOA-PB","08/15/25",34
527,"527 S.ROQUE","08/15/25",34
1499,"1499 ABOLICAO-URJ","07/31/25",17
5792,"5792 BARRAS","08/15/25",31
2214,"2214 MEIRELES-UFO","08/15/25",31
3015,"3015 CANAVIEIRAS","07/31/25",16
1877,"1877 TIMBAUBA","07/31/25",16
5246,"5246 AV.ZAHRAN-U CAMPO GRANDE- MS","07/31/25",16
1364,"1364 R. DR. MOREIRA-U MANAUS- AM","08/15/25",29
2646,"2646 JD.DO TREVO-URB.CAMP","08/15/25",28
551,"551 LEBLON-URJ","08/15/25",27
393,"393 ITATIBA-CENTRO","08/15/25",27
3601,"3601 IBIPEBA","08/15/25",27
3549,"3549 XIQUE-XIQUE","08/15/25",27
435,"435 JOAO PESSOA-CENTRO","08/15/25",24
2425,"2425 ITAPUA-USA","08/15/25",24
5810,"5810 S.RAIMUNDO NONATO, PI","08/15/25",24
