id_bradesco,unit_name,data_inicio,dias_antes_automacao,reference_id,unit_id
662,662 BROTAS-USA,07/03/25,28,4331,3857
3143,3143 AZENHA-UPA,07/03/25,28,4259,3854
2814,2814 JD.PRIMAVERA-U-D-CAX,07/03/25,28,4232,3851
508,508 DIVINOPOLIS,07/15/25,40,4501,3866
1376,1376 EDUCANDOS-UMA,07/03/25,28,4253,3871
1417,1417 MERC.S.SEBASTIAO-URJ,07/03/25,28,4423,3864
352,352 IMBITUBA,07/15/25,39,4211,3873
126,126 AUGUSTA-USP,07/15/25,35,4604,3878
512,512 AG SETE LAGOAS-CENTRO,07/15/25,35,4532,3877
2024,2024 NUCLEO BAND.CID.SAT.,07/03/25,23,4382,3875
602,602 CANSANCAO,07/31/25,50,4351,3880
481,481 CUBATAO,07/15/25,33,4614,3890
1134,1134 COELHO NETO,07/31/25,49,4441,3888
2744,2744 JD.ANGELA-USP,07/15/25,33,4390,3885
2143,2143 MARICA,07/31/25,49,4148,3883
1035,1035 BREJO,07/15/25,33,4451,3889
2512,2512 PIABETA,07/31/25,49,4433,3887
6638,6638 R.XV DE NOVEMBRO.-U.S.J.PINHAI,07/31/25,49,4291,3884
2386,2386 ESTRADA DOS ROMEIROS -U.BARUERI,07/15/25,32,4612,3894
547,547 CARLOS CAMPOS-USP,07/03/25,19,4533,3901
1905,1905 VICENTE CARVALHO,07/15/25,31,4694,3903
3734,3734 PARQUE DEZ-UMA,07/15/25,31,4476,3899
1784,1784 LIMOEIRO,07/15/25,31,4595,3902
135,135 COPACABANA-URJ,07/31/25,44,4421,3906
2247,2247 ROCHDALE-URB.OSASCO,07/03/25,16,4386,3904
537,537 S.VICENTE-CENTRO,07/15/25,28,4625,3909
2883,2883 JAGUARE-USP,07/15/25,28,4602,3908
1948,1948 ITABORAI,07/31/25,44,4412,3905
952,952 AV. GEREMARIO DANTAS,07/31/25,44,4490,3907
5390,5390 URBANO SANTOS,07/31/25,43,4419,3913
238,238 IPIAU,07/31/25,43,4208,3910
3073,3073 CONCEICAO DO COITE,07/31/25,43,4380,3911
2282,2282 R.BORGES LAGOA-USP,07/31/25,43,4703,3915
1890,1890 LAVRAS,07/31/25,42,4494,3919
2605,2605 PLINIO CASADO-U.D.CX,07/31/25,42,4348,3918
1186,1186 AV CENTRAL URB NITEROI RJ,07/31/25,40,4479,3922
2165,2165 PRAIA ENS.U-GUARUJA,07/31/25,40,4728,3926
548,548 V.CLEMENTINO-USP,07/31/25,40,4749,3927
518,518 PONTA PRAIA U.SANTOS,07/31/25,40,4626,3925
