unit_id,data,hora,metodo,consumo_kwh_total,qtd_dispositivos
117,2025-08-27,11,indireto,5.0,1
117,2025-08-27,12,indireto,5.0,1
117,2025-08-27,13,indireto,5.0,1
117,2025-08-27,14,indireto,5.0,1
117,2025-08-27,15,indireto,5.0,1
117,2025-08-27,16,indireto,5.0,1
117,2025-08-27,17,indireto,5.0,1
117,2025-08-27,18,indireto,5.0,1
117,2025-08-27,19,indireto,4.792,1
117,2025-08-27,20,indireto,5.0,1
117,2025-08-27,21,indireto,5.0,1
117,2025-08-27,22,indireto,0.757,1
117,2025-08-28,10,indireto,1.078,1
117,2025-08-28,11,indireto,5.0,1
117,2025-08-28,12,indireto,5.0,1
117,2025-08-28,13,indireto,5.0,1
117,2025-08-28,14,indireto,5.0,1
117,2025-08-28,15,indireto,5.0,1
117,2025-08-28,16,indireto,5.0,1
117,2025-08-28,17,indireto,5.0,1
117,2025-08-28,18,indireto,5.0,1
117,2025-08-28,19,indireto,5.0,1
117,2025-08-28,20,indireto,3.401,1
117,2025-08-28,21,indireto,2.167,1
117,2025-08-28,22,indireto,0.229,1
117,2025-08-29,13,indireto,1.617,1
117,2025-08-29,14,indireto,5.0,1
117,2025-08-29,15,indireto,5.0,1
117,2025-08-29,16,indireto,5.0,1
117,2025-08-29,17,indireto,5.0,1
117,2025-08-29,18,indireto,5.0,1
117,2025-08-29,19,indireto,5.0,1
117,2025-08-29,20,indireto,2.793,1
117,2025-08-29,21,indireto,3.143,1
117,2025-08-29,22,indireto,0.379,1
117,2025-08-30,11,indireto,3.912,1
117,2025-08-30,12,indireto,5.0,1
117,2025-08-30,13,indireto,5.0,1
117,2025-08-30,14,indireto,5.0,1
117,2025-08-30,15,indireto,5.0,1
117,2025-08-30,16,indireto,5.0,1
117,2025-08-30,17,indireto,5.0,1
117,2025-08-30,18,indireto,5.0,1
117,2025-08-30,19,indireto,5.0,1
117,2025-08-30,20,indireto,5.0,1
117,2025-08-30,21,indireto,5.0,1
117,2025-08-30,22,indireto,0.471,1
117,2025-08-31,13,indireto,1.329,1
117,2025-08-31,14,indireto,5.0,1
117,2025-08-31,15,indireto,5.0,1
117,2025-08-31,16,indireto,5.0,1
117,2025-08-31,17,indireto,5.0,1
117,2025-08-31,18,indireto,5.0,1
117,2025-08-31,19,indireto,4.801,1
117,2025-08-31,20,indireto,4.699,1
117,2025-08-31,21,indireto,2.644,1
117,2025-08-31,22,indireto,0.264,1
165,2025-04-25,8,indireto,3.979,1
165,2025-04-25,9,indireto,5.862,1
165,2025-04-25,10,indireto,5.862,1
165,2025-04-25,11,indireto,2.828,1
165,2025-04-26,8,indireto,1.607,1
165,2025-04-26,9,indireto,2.994,1
165,2025-04-28,9,indireto,2.336,1
165,2025-04-28,10,indireto,5.862,1
165,2025-04-28,11,indireto,5.862,1
165,2025-04-28,12,indireto,5.862,1
165,2025-04-28,13,indireto,5.862,1
165,2025-04-28,14,indireto,5.862,1
165,2025-04-28,15,indireto,5.862,1
165,2025-04-28,16,indireto,5.862,1
165,2025-04-28,17,indireto,5.862,1
165,2025-04-28,18,indireto,3.19,1
165,2025-05-02,8,indireto,0.304,1
165,2025-05-02,9,indireto,0.869,1
165,2025-05-02,10,indireto,4.94,1
165,2025-05-02,11,indireto,5.862,1
165,2025-05-02,12,indireto,5.862,1
165,2025-05-02,13,indireto,5.862,1
165,2025-05-02,14,indireto,5.862,1
165,2025-05-02,15,indireto,5.862,1
165,2025-05-02,16,indireto,5.862,1
165,2025-05-02,17,indireto,5.862,1
165,2025-05-02,18,indireto,3.948,1
165,2025-05-03,9,indireto,0.438,1
165,2025-05-03,10,indireto,5.578,1
165,2025-05-03,11,indireto,5.862,1
165,2025-05-03,12,indireto,5.862,1
165,2025-05-03,13,indireto,5.862,1
165,2025-05-03,14,indireto,5.862,1
165,2025-05-03,15,indireto,5.862,1
165,2025-05-03,16,indireto,5.862,1
165,2025-05-03,17,indireto,5.862,1
165,2025-05-03,18,indireto,0.428,1
165,2025-05-05,8,indireto,0.672,1
165,2025-05-05,9,indireto,2.571,1
165,2025-05-05,10,indireto,5.862,1
165,2025-05-05,11,indireto,5.862,1
165,2025-05-05,12,indireto,5.862,1
165,2025-05-05,13,indireto,5.862,1
165,2025-05-05,14,indireto,5.862,1
165,2025-05-05,15,indireto,5.862,1
165,2025-05-05,16,indireto,5.862,1
165,2025-05-05,17,indireto,5.862,1
165,2025-05-05,18,indireto,5.744,1
165,2025-05-05,19,indireto,0.619,1
165,2025-05-06,8,indireto,0.313,1
165,2025-05-06,9,indireto,0.801,1
165,2025-05-06,10,indireto,2.109,1
165,2025-05-06,11,indireto,5.862,1
165,2025-05-06,12,indireto,5.862,1
165,2025-05-06,13,indireto,5.862,1
165,2025-05-06,14,indireto,5.862,1
165,2025-05-06,15,indireto,5.862,1
165,2025-05-06,16,indireto,5.862,1
165,2025-05-06,17,indireto,5.862,1
165,2025-05-06,18,indireto,5.171,1
165,2025-05-07,9,indireto,4.277,1
165,2025-05-07,10,indireto,5.862,1
165,2025-05-07,11,indireto,5.862,1
165,2025-05-07,12,indireto,5.862,1
165,2025-05-07,13,indireto,4.443,1
165,2025-05-07,14,indireto,5.526,1
165,2025-05-07,15,indireto,5.862,1
165,2025-05-07,16,indireto,5.862,1
165,2025-05-07,17,indireto,5.862,1
165,2025-05-07,18,indireto,5.862,1
165,2025-05-07,19,indireto,1.625,1
165,2025-05-09,8,indireto,3.943,1
165,2025-05-09,9,indireto,5.862,1
165,2025-05-09,10,indireto,5.744,1
165,2025-05-09,11,indireto,5.862,1
165,2025-05-09,12,indireto,4.673,1
165,2025-05-09,13,indireto,0.952,1
165,2025-05-09,14,indireto,0.952,1
165,2025-05-09,15,indireto,0.952,1
165,2025-05-09,17,indireto,2.063,1
165,2025-05-09,18,indireto,5.862,1
165,2025-05-09,19,indireto,1.885,1
165,2025-05-10,11,indireto,5.686,1
165,2025-05-10,12,indireto,5.707,1
165,2025-05-10,13,indireto,4.859,1
165,2025-05-10,14,indireto,5.862,1
165,2025-05-10,15,indireto,5.862,1
165,2025-05-10,16,indireto,5.862,1
165,2025-05-10,17,indireto,5.862,1
165,2025-05-10,18,indireto,2.431,1
165,2025-05-14,10,indireto,0.516,1
165,2025-05-14,11,indireto,1.268,1
165,2025-05-14,12,indireto,2.288,1
165,2025-05-14,13,indireto,4.281,1
165,2025-05-14,14,indireto,2.993,1
165,2025-05-14,15,indireto,1.306,1
165,2025-05-14,16,indireto,1.024,1
165,2025-05-14,17,indireto,0.422,1
165,2025-05-15,10,indireto,1.561,1
165,2025-05-15,11,indireto,4.927,1
165,2025-05-15,12,indireto,5.744,1
165,2025-05-15,13,indireto,5.862,1
165,2025-05-15,14,indireto,5.862,1
165,2025-05-15,15,indireto,5.761,1
165,2025-05-15,16,indireto,5.386,1
165,2025-05-15,17,indireto,2.319,1
165,2025-05-16,11,indireto,0.405,1
165,2025-05-16,12,indireto,0.798,1
165,2025-05-16,13,indireto,4.823,1
165,2025-05-16,14,indireto,5.862,1
165,2025-05-16,15,indireto,5.862,1
165,2025-05-16,16,indireto,5.824,1
165,2025-05-16,17,indireto,0.972,1
