unit_id,data,hora,qtd_devices_total,qtd_dac,qtd_dut,peso_medio_dac,peso_medio_dut,consumo_kwh_total,metodos
117,2025-08-12,13,1,1,0,1.0,0.0,4.644,indireto
117,2025-08-12,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-12,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-12,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-12,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-12,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-12,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-12,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-12,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-12,22,1,1,0,1.0,0.0,0.507,indireto
117,2025-08-13,7,1,1,0,1.0,0.0,4.426,indireto
117,2025-08-13,8,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,9,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,10,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,11,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-13,22,1,1,0,1.0,0.0,0.11,indireto
117,2025-08-14,10,1,1,0,1.0,0.0,4.025,indireto
117,2025-08-14,11,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-14,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-14,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-14,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-14,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-14,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-14,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-14,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-14,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-14,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-14,21,1,1,0,1.0,0.0,4.853,indireto
117,2025-08-14,22,1,1,0,1.0,0.0,0.779,indireto
117,2025-08-15,12,1,1,0,1.0,0.0,1.769,indireto
117,2025-08-15,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-15,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-15,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-15,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-15,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-15,18,1,1,0,1.0,0.0,4.185,indireto
117,2025-08-15,19,1,1,0,1.0,0.0,2.403,indireto
117,2025-08-15,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-15,21,1,1,0,1.0,0.0,4.828,indireto
117,2025-08-16,7,1,1,0,1.0,0.0,0.464,indireto
117,2025-08-16,8,1,1,0,1.0,0.0,4.039,indireto
117,2025-08-16,9,1,1,0,1.0,0.0,4.475,indireto
117,2025-08-16,10,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-16,11,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-16,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-16,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-16,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-16,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-16,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-16,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-16,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-16,19,1,1,0,1.0,0.0,3.046,indireto
117,2025-08-16,20,1,1,0,1.0,0.0,4.25,indireto
117,2025-08-16,21,1,1,0,1.0,0.0,3.156,indireto
117,2025-08-17,14,1,1,0,1.0,0.0,1.261,indireto
117,2025-08-17,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-17,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-17,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-17,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-17,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-17,20,1,1,0,1.0,0.0,2.667,indireto
117,2025-08-17,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-17,22,1,1,0,1.0,0.0,0.65,indireto
117,2025-08-18,12,1,1,0,1.0,0.0,4.197,indireto
117,2025-08-18,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-18,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-18,15,1,1,0,1.0,0.0,4.79,indireto
117,2025-08-18,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-18,17,1,1,0,1.0,0.0,4.583,indireto
117,2025-08-18,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-18,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-18,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-18,21,1,1,0,1.0,0.0,4.928,indireto
117,2025-08-19,13,1,1,0,1.0,0.0,4.797,indireto
117,2025-08-19,14,1,1,0,1.0,0.0,4.792,indireto
117,2025-08-19,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-19,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-19,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-19,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-19,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-19,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-19,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-19,22,1,1,0,1.0,0.0,0.396,indireto
117,2025-08-20,7,1,1,0,1.0,0.0,4.294,indireto
117,2025-08-20,8,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-20,9,1,1,0,1.0,0.0,0.522,indireto
117,2025-08-20,11,1,1,0,1.0,0.0,0.799,indireto
117,2025-08-20,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-20,13,1,1,0,1.0,0.0,4.792,indireto
117,2025-08-20,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-20,15,1,1,0,1.0,0.0,4.644,indireto
117,2025-08-20,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-20,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-20,18,1,1,0,1.0,0.0,4.792,indireto
117,2025-08-20,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-20,20,1,1,0,1.0,0.0,4.792,indireto
117,2025-08-20,21,1,1,0,1.0,0.0,4.278,indireto
117,2025-08-21,13,1,1,0,1.0,0.0,4.357,indireto
117,2025-08-21,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-21,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-21,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-21,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-21,18,1,1,0,1.0,0.0,4.604,indireto
117,2025-08-21,19,1,1,0,1.0,0.0,1.332,indireto
117,2025-08-21,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-21,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-21,22,1,1,0,1.0,0.0,0.508,indireto
117,2025-08-22,13,1,1,0,1.0,0.0,0.772,indireto
117,2025-08-22,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-22,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-22,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-22,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-22,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-22,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-22,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-22,21,1,1,0,1.0,0.0,2.433,indireto
117,2025-08-23,10,1,1,0,1.0,0.0,1.582,indireto
117,2025-08-23,11,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-23,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-23,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-23,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-23,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-23,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-23,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-23,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-23,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-23,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-23,21,1,1,0,1.0,0.0,4.754,indireto
117,2025-08-24,7,1,1,0,1.0,0.0,3.436,indireto
117,2025-08-24,8,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,9,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,10,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,11,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,12,1,1,0,1.0,0.0,4.792,indireto
117,2025-08-24,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-24,21,1,1,0,1.0,0.0,4.706,indireto
117,2025-08-25,12,1,1,0,1.0,0.0,4.528,indireto
117,2025-08-25,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-25,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-25,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-25,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-25,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-25,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-25,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-25,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-25,21,1,1,0,1.0,0.0,4.611,indireto
117,2025-08-26,11,1,1,0,1.0,0.0,1.576,indireto
117,2025-08-26,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-26,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-26,14,1,1,0,1.0,0.0,5.0,indireto
